Title;Dept_Num;Level;Prof;Topics;URL;;;
Transportation Policy; Strategy; and Management;1.223;Graduate;Prof. Joseph Coughlin;Social Science|Business|Urban Studies;https://ocw.mit.edu/courses/1-223j-transportation-policy-strategy-and-management-fall-2004/;
Carrier Systems;1.224;Graduate;Prof. Cynthia Barnhart;Engineering|Social Science|Business;https://ocw.mit.edu/courses/1-224j-carrier-systems-fall-2003/;;;
Transportation Flow Systems;1.225;Graduate;Prof. Ismail Chabini;Engineering|Systems Engineering|Social Science;https://ocw.mit.edu/courses/1-225j-transportation-flow-systems-fall-2002/;;;
Urban Transportation Planning;1.252;Graduate;;Engineering|Social Science|Public Administration;https://ocw.mit.edu/courses/1-252j-urban-transportation-planning-fall-2016/;;;
Transportation Policy and Environmental Limits;1.253;Graduate;Prof. Joseph Coughlin;Engineering|Science|Social Science;https://ocw.mit.edu/courses/1-253j-transportation-policy-and-environmental-limits-spring-2004/;;;
Public Transportation Systems;1.258;Graduate;Dr. Neema Nassir;Engineering|Social Science|Urban Studies;https://ocw.mit.edu/courses/1-258j-public-transportation-systems-spring-2017/;;;
Transit Management;1.259;Graduate;Prof. Nigel Wilson;Social Science|Business|Urban Studies;https://ocw.mit.edu/courses/1-259j-transit-management-fall-2006/;;;
Database; Internet; and Systems Integration Technologies;1.264;Graduate;Dr. George Kocur;Engineering|Computer Science|Business;https://ocw.mit.edu/courses/1-264j-database-internet-and-systems-integration-technologies-fall-2013/;
Soil Behavior;1.322;Graduate;Dr. Lucy C. Jen;Engineering|Science|Earth Science;https://ocw.mit.edu/courses/1-322-soil-behavior-spring-2005/;;;
Waste Containment and Remediation Technology;1.34;Graduate;Dr. Peter Shanahan;Engineering|Civil Engineering|Environmental Engineering;https://ocw.mit.edu/courses/1-34-waste-containment-and-remediation-technology-spring-2004/;;;
Advanced Soil Mechanics;1.361;Graduate;Dr. Lucy C. Jen;Engineering|Science|Earth Science;https://ocw.mit.edu/courses/1-361-advanced-soil-mechanics-fall-2004/;;;
Advanced Geotechnical Engineering;1.364;Graduate;Prof. Andrew Whittle;Engineering|Civil Engineering|Structural Engineering;https://ocw.mit.edu/courses/1-364-advanced-geotechnical-engineering-fall-2003/;;;
Strategic Management in the Design and Construction Value Chain;1.46;Graduate;Dr. John Macomber;Engineering|Business|Supply Chain Management;https://ocw.mit.edu/courses/1-46-strategic-management-in-the-design-and-construction-value-chain-fall-2003/;;;
The Impact of Globalization on the Built Environment;1.463;Graduate;Prof. Fred Moavenzadeh;Engineering|Business|Globalization;https://ocw.mit.edu/courses/1-463j-the-impact-of-globalization-on-the-built-environment-fall-2009/;;;
E-Commerce and the Internet in Real Estate and Construction;1.464;Graduate;Dr. John Macomber;Business|Information Technology|Operations Management;https://ocw.mit.edu/courses/1-464-e-commerce-and-the-internet-in-real-estate-and-construction-spring-2004/;;;
Motion Based Design;1.561;Graduate;Prof. Jerome Connor;Engineering|Architecture|Fine Arts;https://ocw.mit.edu/courses/1-561-motion-based-design-fall-2003/;;;
Structural Analysis and Control;1.571;Graduate;Prof. Jerome Connor;Engineering|Systems Engineering|Civil Engineering;https://ocw.mit.edu/courses/1-571-structural-analysis-and-control-spring-2004/;;;
Advanced Fluid Dynamics of the Environment;1.63;Graduate;Prof. Chiang Mei;Engineering|Mechanical Engineering|Environmental Engineering;https://ocw.mit.edu/courses/1-63-advanced-fluid-dynamics-of-the-environment-fall-2002/;;;
Groundwater Hydrology;1.72;Graduate;Prof. Charles Harvey;Engineering|Science|Earth Science;https://ocw.mit.edu/courses/1-72-groundwater-hydrology-fall-2005/;;;
Chemicals in the Environment: Fate and Transport;1.725;Graduate;Prof. Harold Hemond;Engineering|Science|Chemistry;https://ocw.mit.edu/courses/1-725j-chemicals-in-the-environment-fate-and-transport-fall-2004/;;;
